pageNumber,jobId,title,companyName,groupId,companyId,isTopGroup,tagsAndSkills,jobDescription,location,salaryLabel,currency,minimumSalary,maximumSalary,hideSalary,variablePercentage,minSalaryPerMonth,maxSalaryPerMonth,experienceText,minimumExperience,maximumExperience,footerPlaceholderLabel,createdDateISO,createdDateRaw,mode,board,vacancy,jobType,walkinJob,walkin_contactName,walkin_contactPhone,walkin_dailyTiming,walkin_venueAddress,walkin_startDate,walkin_endDate,companyApplyJob,companyApplyUrl,applyRedirectUrl,applyByTime,jdURL,staticUrl,ambitionBoxUrl,ambitionBoxReviewsCount,ambitionBoxRating,roleCategoryGid,todaysJob,jobAgentEligle,consultant,hiringFor,hideClientName,clientTitleString,brandedJDTemplateId,questionnaireIdPresent,exclusive,diversityTagText,logoPath
298,290826006486,Prompt Engineer | Leading IT Co. | WFH,Hindco Recruitment Consultants,1016,512,0,"generative ai,Artificial Intelligence,Machine Learning,Prompt Engineering,Large Language Model,Langchain,Ai Solutions,Natural Language Processing","Document prompt strategies and best practices - Experience with AI tools,NLP,or prompt engineering with Generative AI / LLM-based applications",Remote,Not disclosed,INR,0,0,true,0,0,0,1-5 Yrs,1,5,3 Days Ago,2026-08-29T05:27:26.093Z,1787981246093,jp,1,2,,false,,,,,,,false,,,2:57 PM,https://www.naukri.com/job-listings-prompt-engineer-leading-it-co-wfh-hindco-recruitment-consultants-mumbai-all-areas-1-to-5-years-290826006486,hindco-recruitment-consultants-jobs-careers-512,,,,1028,false,true,true,Hiring for - Leading IT Co.,false,,,true,,,https://img.naukimg.com/logo_images/groups/v1/1016.gif
298,290726031228,Solution Architect : Edge AI,ACL Digital,1784498,3212,0,"Embedded C,Edge Ai,Pytorch,Computer Vision,RTOS,Embedded C++,VXWorks,Tensorflow","<p>We are seeking a <strong>Solution Architect</strong> for <strong>Edge AI </strong>with <strong>10+ years</strong> of experience to lead the architecture, design, and technology strategy for next-generation embedded and intelligent edge products.</p><p>The ideal candidate will possess extensive experience in <strong>solution architecture, system design, embedded systems engineering, and product development</strong>, with the ability to translate business requirements into scalable and robust technical solutions. This role requires strong expertise in hardware-software systems, platform selection, performance optimization, resource planning, and cross-functional technical leadership.</p><br /><p>Candidates with experience in domains such as <strong>ADAS/Automotive Electronics, Robotics, Industrial Automation, Autonomous Systems, or other safety-critical embedded systems</strong> are preferred.</p><br /><p><strong>Key Responsibilities</strong></p><p>• Define and drive end-to-end system and solution architectures for embedded and intelligent edge products. </p><p>• Translate business and product requirements into scalable, high-performance technical solutions. </p><p>• Lead hardware platform evaluation, selection, benchmarking, and architecture trade-off analysis. </p><p>• Drive system-level design decisions including compute, memory, storage, communication, and resource budgeting. </p><p>• Provide technical leadership for the development of PoCs, prototypes, and MVPs, ensuring alignment with product and business objectives. </p><p>• Collaborate with cross-functional teams across hardware, software, validation, product management, and customer engineering to ensure successful product delivery. </p><p>• Mentor engineering teams and establish architecture best practices, design standards, and technical governance. </p><p>• Evaluate emerging technologies and recommend innovative solutions to enhance product capabilities and competitiveness.</p><br /><p><strong>Experience</strong></p><ul><li><strong>10+ years of experience in Solution Design, System Architecture, or Embedded Product Development.</strong></li><li>Proven experience defining and delivering end-to-end architectures for complex embedded systems.</li><li>Strong experience in hardware-software system integration and embedded product lifecycle management.</li><li>Experience working in one or more of the following domains: </li><ul><li>ADAS / Automotive Electronics</li><li>Industrial Automation</li><li>Autonomous Systems</li><li>Safety-Critical Embedded Systems</li><li></li></ul></ul><p><strong>Technical Expertise</strong></p><p><strong>Embedded Systems</strong></p><ul><li>Embedded C/C++</li><li>Embedded Linux</li><li>Real-Time Operating Systems (RTOS) such as QNX, VxWorks, FreeRTOS, Zephyr, or equivalent</li><li>Experience with ROS (Robot Operating System)</li><li>Multi-core Processor Architectures</li><li>BSP, Middleware, and Device Interface Understanding</li><li>Real-Time and Distributed Systems</li></ul><p><strong>Hardware Platforms</strong></p><ul><li>ARM-based Processors and SoCs</li><li>NXP, TI, Renesas, Qualcomm, NVIDIA, STMicroelectronics, or similar platforms</li><li>Processor, Memory, and Storage Architecture</li><li>Hardware Benchmarking and Platform Evaluation</li><li>Edge Computing Platforms</li></ul><p><strong>Development Tools</strong></p><ul><li>Git, GitLab, GitHub</li><li>Docker</li><li>CI/CD Pipelines</li><li>JIRA, Confluence</li><li>Debugging, Profiling, and Performance Analysis Tools</li></ul><p><strong>AI/ML & Edge AI</strong></p><ul><li>Experience architecting AI-enabled embedded or intelligent edge solutions.</li><li>Familiarity with deep learning frameworks such as:</li><ul><li>PyTorch</li><li>TensorFlow</li><li>TensorFlow Lite (TFLite)</li><li>ONNX Runtime</li></ul><li>Exposure to edge AI deployment and optimization technologies:</li><ul><li>NVIDIA TensorRT</li><li>NVIDIA DeepStream</li><li>NXP eIQ</li><li>Intel OpenVINO</li><li>Qualcomm AI Engine SDK</li></ul><li>Understanding of:</li><ul><li>Model optimization and quantization</li><li>Inference deployment on edge devices</li><li>AI accelerator architectures</li><li>Performance benchmarking of AI workloads</li></ul></ul><p><strong>Vision & Autonomous Systems</strong></p><ul><li>ROS / ROS2</li><li>Computer Vision and Image Processing Systems</li><li>LiDAR, Radar, Camera, and IMU-based Systems</li><li>Autonomous and Intelligent Edge Platforms</li></ul><br /><br />",Bengaluru(Bannerghatta Road),Not disclosed,INR,0,0,true,0,0,0,10-16 Yrs,10,16,18 Days Ago,2026-08-14T07:08:25.330Z,1786691305330,jp,1,2,,false,,,,,,,false,,,4:38 PM,https://www.naukri.com/job-listings-solution-architect-edge-ai-acl-digital-bengaluru-10-to-16-years-290726031228,acl-digital-jobs-careers-3212,https://www.ambitionbox.com/reviews/acl-digital-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,945,3.5,1054,false,true,,,,,,true,,,https://img.naukimg.com/logo_images/groups/v1/1784498.gif
298,290726024750,Ai Ml Engineer,Infosys,13832,410527,0,"Aiml,Machine Learning,Deep Learning,Ml,Artificial Intelligence,Machine","AI / ML Engineer (5-9 Years Experience). Job Title: Senior AI / ML Engineer<br><br>Experience: 5-9 Years. Employment Type: Full-Time. Role Overview. We are seeking a highly skilled AI / ML Engineer with 59 years of experience in designing,developing,and deploying machine learning and generative AI solutions","Hyderabad, Bengaluru, Mumbai (All Areas)",Not disclosed,INR,0,0,true,0,0,0,5-9 Yrs,5,9,8 Days Ago,2026-08-24T04:37:52.554Z,1787546272554,jp,1,,,false,,,,,,,false,,,2:07 PM,https://www.naukri.com/job-listings-ai-ml-engineer-infosys-hyderabad-bengaluru-mumbai-all-areas-5-to-9-years-290726024750,infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,50716,3.5,1019,false,true,,,,,15493,true,,,https://img.naukimg.com/logo_images/groups/v1/13832.gif
298,290726019920,Devops Engineer,Zenith Consultants Software,6543259,2286038,0,"Groovy Scripting,DevOps,GCP Cloud,Openshift,MongoDB,Jenkins,Terraform,Generative Ai Tools",. OpenShift cluster experience is mandate <br><br>Kafka topics and schema registry experience <br><br>Gloud GCP experience 3+ years <br><br>Monitoring tools experience <br><br>DevOps development experience in different environment <br><br>Has good understanding on infrastructure as code,Hybrid - Chennai,Not disclosed,INR,0,0,true,0,0,0,6-11 Yrs,6,11,11 Days Ago,2026-08-20T10:36:39.491Z,1787222199491,jp,1,15,,false,,,,,,,false,,,8:06 PM,https://www.naukri.com/job-listings-devops-engineer-zenith-consultants-software-chennai-6-to-11-years-290726019920,zenith-consultants-jobs-careers-2286038,,,,1045,false,true,true,Mphasis,false,Mphasis,,true,,,https://img.naukimg.com/logo_images/groups/v1/6543259.gif
298,290726016779,AI/ML Engineer - Lead,Aspire Systems,499788,34356,0,"Tensorflow,Artificial Intelligence,Machine Learning,Scikit-Learn,Numpy,Pytorch,Agentic,Pandas","Aspire has been consistently recognized among Indias 100 Best Companies to Work For for 12 consecutive years by the Great Place to Work Institute<br><br>Candidate information collected through this recruitment process will be used solely for hiring purposes,handled securely,and retained only as long as necessary in compliance with applicable privacy laws<br><br>Experience - 5 - 10 years .","Hybrid - Kochi, Chennai, Bengaluru",Not disclosed,INR,0,0,true,0,0,0,5-10 Yrs,5,10,4 Days Ago,2026-08-28T06:58:14.701Z,1787900294701,jp,1,,,false,,,,,,,false,,,4:28 PM,https://www.naukri.com/job-listings-ai-ml-engineer-lead-aspire-systems-kochi-chennai-bengaluru-5-to-10-years-290726016779,aspire-systems-jobs-careers-34356,https://www.ambitionbox.com/reviews/aspire-systems-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,1098,3.8,1019,false,true,,,,,6941,true,,,https://img.naukimg.com/logo_images/groups/v1/499788.gif
298,290626928239,Java Fullstack (React) Developer,Infosys,13832,410527,0,"Java,Root Cause Analysis,Reactive Programming,Architecture,Apis,Ai,Programming,Full Stack",Bachelor of Engineering. Service Line . Digital Experience.,Bengaluru,Not disclosed,INR,0,0,true,0,0,0,3-5 Yrs,3,5,8 Days Ago,2026-08-24T05:30:45.564Z,1787549445564,jp,1,,,false,,,,,,,false,,,3 PM,https://www.naukri.com/job-listings-java-fullstack-react-developer-infosys-limited-bengaluru-3-to-5-years-290626928239,infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,50716,3.5,1028,false,true,,,,,15493,false,,,https://img.naukimg.com/logo_images/groups/v1/13832.gif
298,290626928221,"Java Springboot, Microservices Developer",Infosys,13832,410527,0,"Java,Enterprise Architecture,Technical Documentation,Architecture,Ai,Restful,Spring Boot,Engineering Standards",Bachelor of Engineering<br><br>Experience building and consuming REST APIs and working with common data formats (JSON).  . Ability to debug complex issues and communicate solutions clearly within a team environment.  <br><br>Digital Experience,Bengaluru,Not disclosed,INR,0,0,true,0,0,0,3-5 Yrs,3,5,8 Days Ago,2026-08-24T05:30:45.902Z,1787549445902,jp,1,,,false,,,,,,,false,,,3 PM,https://www.naukri.com/job-listings-java-springboot-microservices-developer-infosys-limited-bengaluru-3-to-5-years-290626928221,infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,50716,3.5,1028,false,true,,,,,15493,false,,,https://img.naukimg.com/logo_images/groups/v1/13832.gif
298,290626928184,Java Fullstack (Angular) Engineer,Infosys,13832,410527,0,"Java,Root Cause Analysis,Architecture,Apis,Ai,Full Stack,Restful,Spring Boot","Bachelor of Engineering. Service Line . Digital Experience. <br><br>Minimum Qualifications: BE / ME / BTECH / MTECH / MCA / MSC / MBA (as applicable)<br><br>35 years of hands-on experience in full-stack development using Java,Spring Boot,and Angular<br><br>Experience with testing practices (unit / integration) and collaborative development using Git-based workflows.",Pune,Not disclosed,INR,0,0,true,0,0,0,2-3 Yrs,2,3,8 Days Ago,2026-08-24T05:30:46.132Z,1787549446132,jp,1,,,false,,,,,,,false,,,3 PM,https://www.naukri.com/job-listings-java-fullstack-angular-engineer-infosys-limited-pune-2-to-3-years-290626928184,infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,50716,3.5,1028,false,true,,,,,15493,false,,,https://img.naukimg.com/logo_images/groups/v1/13832.gif
298,290626928169,Java Fullstack (Angular) Developer,Infosys,13832,410527,0,"Java,Root Cause Analysis,Architecture,Apis,Ai,Full Stack,Restful,Spring Boot",Bachelor of Engineering<br><br>Preferred Skills . Technology->UI Markup Language->ANGULARJS2. Technology->Full stack->Java Full stack. Technology->AI-AI Engineering->AI / ML Solution Architecture and Design->generative ai<br><br>Digital Experience<br><br>Experience with testing practices (unit / integration) and collaborative development using Git-based workflows.,Hyderabad,Not disclosed,INR,0,0,true,0,0,0,3-5 Yrs,3,5,8 Days Ago,2026-08-24T05:30:46.377Z,1787549446377,jp,1,,,false,,,,,,,false,,,3 PM,https://www.naukri.com/job-listings-java-fullstack-angular-developer-infosys-limited-hyderabad-3-to-5-years-290626928169,infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,50716,3.5,1028,false,true,,,,,15493,false,,,https://img.naukimg.com/logo_images/groups/v1/13832.gif
298,290626009325,Project Manager,Hexaware Technologies,12466,16564,0,"Execution,Project Management,Agile,Scrum,Planning,Estimation,Artificial Intelligence,Quality Management","Proven experience managing projects from initiation to closure with measurable outcomes. Strong SDLC & Governance Expertise <br><br>Experience in enforcing delivery governance,standards,and best practices. Agile / Scrum & Scrum Master Experience <br><br> Hands-on experience conducting Scrum ceremonies such as sprint planning,daily stand-ups,sprint reviews,and retrospectives",Hybrid - Bengaluru,Not disclosed,INR,0,0,true,0,0,0,10-15 Yrs,10,15,15 Days Ago,2026-08-17T07:06:12.978Z,1786950372978,jp,1,2,,false,,,,,,,false,,,4:36 PM,https://www.naukri.com/job-listings-project-manager-hexaware-technologies-bengaluru-10-to-15-years-290626009325,hexaware-technologies-jobs-careers-9815,https://www.ambitionbox.com/reviews/hexaware-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,8076,3.4,1060,false,true,,,,,2495,true,,,https://img.naukimg.com/logo_images/groups/v1/12466.gif
